,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcexp,pcsoc,c,pov_line,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
1293761,NCR,EQ,500,137641325118003,not_helped,na,79.40378506395727,495650.9017348738,5447.9225249437095,495650.9017348738,22302.6775,0.5650000000000003,0,0,0.0,0.02594408635126875,0.0,0.5650000000000003,159.59301269815728,0.0,159.59301269815728,0,15573.959716184301,0,0.002840809066475474,2.6269085888139346e-05,-1,0.0,0.0,0.0,-1209.98,100.43,0.0,10.0,0.0,141.34,141.34,0.0,141.34,141.34,0.0,159.59
1293797,NCR,EQ,1000,137622211,helped,a,1644.5016799999999,456541.902354617,0.0,456541.90235461696,22302.6775,0.7950000000000005,187348,5434,192782.0,0.03427407945875603,1712.0246332061447,0.7950000000000005,207967.12760800612,1712.0246332061447,209679.15224121226,1,15573.959716184301,0,0.0029599861133797443,0.05638976446922134,-1,0.0,0.0,163221.23,-1209.98,187.3,0.0,10.0,275932949.0340895,52863.95,51424.14,1439.81,182624.83,182624.83,0.0,209679.15
1293854,NCR,EQ,1000,1376222231,helped,a,1233.37626,818633.655730049,14971.133295645324,818633.6557300492,22302.6775,0.5850000000000003,478778,13887,492665.0,0.03427407945875603,4375.209069071353,0.5850000000000003,431496.4129880634,4375.209069071353,435871.62205713475,1,15573.959716184301,0,0.002210472915520725,0.07360079496269006,-1,0.0,0.0,432590.66,-1209.98,1079.18,0.0,10.0,547951609.5947741,140483.78,136804.23,3679.55,393549.32,393549.32,0.0,435871.62
1293879,NCR,EQ,1000,1376473795,helped,a,1457.247085,729663.1272301739,36235.22141345029,729663.1272301743,22302.6775,0.4950000000000002,490014,14213,504227.0,0.03427407945875603,4477.917944747688,0.4950000000000002,398315.65411531203,4477.917944747688,402793.5720600597,1,15573.959716184301,0,0.0023413632401801028,0.0793553567742758,-1,0.0,0.0,449706.79000000004,-1209.98,677.16,0.0,10.0,672752575.3769606,146691.54,142925.61,3765.93,369296.4,369296.4,0.0,402793.57
1293913,NCR,EQ,1000,13391700373,helped,a,730.6680565,591675.59483944,44614.12517134585,591675.5948394402,22302.6775,0.8450000000000005,204149,5921,210070.0,0.03427407945875603,1865.4578309189517,0.8450000000000005,238518.770199548,1865.4578309189517,240384.22803046694,1,15573.959716184301,0,0.0026000887226789167,0.04670557937943034,-1,0.0,0.0,176323.13000000003,-1209.98,487.63,0.0,10.0,132472084.52108392,58649.95,57081.1,1568.85,207642.99,207642.99,0.0,240384.24
1293994,NCR,EQ,1000,13744134215,helped,a,1068.076545,594255.6231816565,15690.018131425215,594255.6231816566,22302.6775,0.6750000000000004,293544,8514,302058.0,0.03427407945875603,2682.402967816915,0.6750000000000004,291221.3456357695,2682.402967816915,293903.7486035864,1,15573.959716184301,0,0.002594438292629519,0.06430729422147521,-1,0.0,0.0,261118.82000000004,-1209.98,496.53,0.0,10.0,286542607.07934725,85061.21,82805.31,2255.9,261316.41,261316.41,0.0,293903.75
1294003,NCR,EQ,1000,13744288537,helped,a,607.6635765000001,618475.9062801264,0.0,618475.9062801264,22302.6775,0.7150000000000004,290211,8417,298628.0,0.03427407945875603,2651.842351434693,0.7150000000000004,298934.13346289826,2651.842351434693,301585.97581433295,1,15573.959716184301,0,0.0025431302446479696,0.0625530040972613,-1,0.0,0.0,256369.5100000001,-1209.98,641.24,0.0,10.0,160087879.27422324,83001.44,80771.24,2230.2,266305.64,266305.64,0.0,301585.98
1294031,NCR,EQ,1000,13744812492,helped,a,632.6826055000001,876443.2286835541,0.0,876443.2286835543,22302.6775,0.5850000000000003,510839,14817,525656.0,0.03427407945875603,4668.212916859669,0.5850000000000003,459784.67801111424,4668.212916859669,464452.8909279739,1,15573.959716184301,0,0.002136328826315542,0.07300119566407223,-1,0.0,0.0,461558.76,-1209.98,1299.41,0.0,10.0,299904117.42686623,149343.7,145417.73,3925.97,419355.57,419355.57,0.0,464452.89
1294158,NCR,EQ,1000,13762252680,helped,a,1525.82369,1051435.4642089412,49926.942930330304,1051435.4642089414,22302.6775,0.6450000000000004,528023,15315,543338.0,0.03427407945875603,4825.111751481802,0.6450000000000004,508828.50374285644,4825.111751481802,513653.6154943382,1,15573.959716184301,0,0.0019504673507496563,0.0632552679317086,-1,0.0,0.0,472146.89,-1209.98,1721.26,0.0,10.0,740065387.4629478,154522.73,150464.81,4057.92,459057.47,459057.47,0.0,513653.62
1294338,NCR,EQ,1000,133917105166,helped,a,912.7952449999999,475476.14778363577,0.0,475476.1477836359,22302.6775,0.9050000000000006,163168,4732,167900.0,0.03427407945875603,1490.8539868110925,0.9050000000000006,199074.4075655099,1490.8539868110925,200565.261552321,1,15573.959716184301,0,0.002900451634444833,0.04901412546110723,-1,0.0,0.0,139469.22000000003,-1209.98,281.82,0.0,10.0,130939411.4008592,45194.69,43940.88,1253.81,171414.33,171414.33,0.0,200565.26
1294502,NCR,EQ,1000,137436228002,helped,a,457.47721199999995,819244.4204610416,65375.069960861794,819244.4204610419,22302.6775,0.6150000000000003,413811,12002,425813.0,0.03427407945875603,3781.324925973528,0.6150000000000003,387350.644751134,3781.324925973528,391131.9696771075,1,15573.959716184301,0,0.002209648783806119,0.06117178829211389,-1,0.0,0.0,371950.93000000005,-1209.98,977.75,0.0,10.0,174776703.5130497,122606.84,119426.75,3180.09,351356.66,351356.66,0.0,391131.97
1294527,NCR,EQ,1000,137441201137,helped,a,928.2693865,596559.8626073656,0.0,596559.8626073657,22302.6775,0.4750000000000002,433977,12587,446564.0,0.03427407945875603,3965.6337979694044,0.4750000000000002,342866.9576361618,3965.6337979694044,346832.5914341312,1,15573.959716184301,0,0.0025894228773074516,0.08755951326930893,-1,0.0,0.0,399662.95999999996,-1209.98,399.33,0.0,10.0,380821240.35221535,129252.07,125916.97,3335.1,319091.98,319091.98,0.0,346832.59
1294535,NCR,EQ,1000,137441252367,helped,a,712.0510965,747511.6312188532,0.0,747511.6312188533,22302.6775,0.9050000000000006,249328,7231,256559.0,0.03427407945875603,2278.1836810293767,0.9050000000000006,304194.5963025437,2278.1836810293767,306472.77998357307,1,15573.959716184301,0,0.0023132417307304013,0.047020667077659235,-1,0.0,0.0,213115.21,-1209.98,1143.55,0.0,10.0,156079094.22831964,69059.58,67143.63,1915.95,261928.85,261928.85,0.0,306472.78
1294542,NCR,EQ,1000,137441342234,helped,a,534.0382915,1151564.4814472522,47070.052719618514,1151564.481447253,22302.6775,0.9650000000000006,349888,10148,360036.0,0.03427407945875603,3197.2075778019794,0.9650000000000006,449664.2663162309,3197.2075778019794,452861.4738940329,1,15573.959716184301,0,0.0018637423124500208,0.04402728842386676,-1,0.0,0.0,295974.12,-1209.98,2288.69,0.0,10.0,162619245.6440289,97551.12,94862.27,2688.85,383166.15,383166.15,0.0,452861.48
1294570,NCR,EQ,1000,137442883165,helped,a,1215.327115,395029.66425895673,0.0,395029.66425895685,22302.6775,0.9650000000000006,127161,3688,130849.0,0.03427407945875603,1161.9335383261432,0.9650000000000006,162773.44272968842,1161.9335383261432,163935.37626801457,1,15573.959716184301,0,0.003182109651699688,0.0475580971739471,-1,0.0,0.0,107566.88000000002,-1209.98,39.03,0.0,10.0,134498413.87973452,34866.99,33889.8,977.19,138669.03,138669.03,0.0,163935.38
1294659,NCR,EQ,1000,137447725432,helped,a,505.24918749999995,546787.3146406377,10895.845705837975,546787.314640638,22302.6775,0.6750000000000004,271512,7875,279387.0,0.03427407945875603,2481.080969175265,0.6750000000000004,269226.3432592424,2481.080969175265,271707.4242284177,1,15573.959716184301,0,0.002704710459031568,0.06480564348504997,-1,0.0,0.0,241520.47999999998,-1209.98,371.1,0.0,10.0,125374228.17528526,78552.97,76466.38,2086.59,241579.29,241579.29,0.0,271707.42
1294678,NCR,EQ,1000,137448125109,helped,a,1265.36523,469293.8325584472,0.0,469293.8325584472,22302.6775,0.4950000000000002,328690,9533,338223.0,0.03427407945875603,3003.446968780673,0.4950000000000002,266257.931429615,3003.446968780673,269261.37839839567,1,15573.959716184301,0,0.002919493900724255,0.08517939198412196,-1,0.0,0.0,301652.86000000004,-1209.98,70.55,0.0,10.0,391845792.7841908,97564.02,95038.12,2525.9,246882.19,246882.19,0.0,269261.38
1294679,NCR,EQ,1000,137448126133,helped,a,1265.36523,459472.8630412892,0.0,459472.8630412892,22302.6775,0.8450000000000005,170526,4946,175472.0,0.03427407945875603,1558.2763775924902,0.8450000000000005,197820.0335999469,1558.2763775924902,199378.3099775394,1,15573.959716184301,0,0.002950530187607448,0.05144255500270622,-1,0.0,0.0,147283.01000000004,-1209.98,216.9,0.0,10.0,191630194.81286615,47713.19,46402.68,1310.51,172167.33,172167.33,0.0,199378.31
1294680,NCR,EQ,1000,137448128184,helped,a,1898.0478449999998,419507.0866990138,20920.02160419723,419507.08669901395,22302.6775,0.9650000000000006,126724,3675,130399.0,0.03427407945875603,1157.8377856151237,0.9650000000000006,163008.44291518402,1157.8377856151237,164166.28070079914,1,15573.959716184301,0,0.003087879503663394,0.04372350099820918,-1,0.0,0.0,107197.23999999999,-1209.98,52.09,0.0,10.0,209331738.8308125,35464.09,34490.35,973.74,138909.43,138909.43,0.0,164166.28
1294681,NCR,EQ,1000,137448129207,helped,a,1265.36523,644244.595522527,81718.83439139543,644244.5955225272,22302.6775,0.5350000000000003,358636,10402,369038.0,0.03427407945875603,3277.2322846172833,0.5350000000000003,307964.43364154734,3277.2322846172833,311241.6659261646,1,15573.959716184301,0,0.0024917507844816754,0.06292489171947592,-1,0.0,0.0,326860.48000000004,-1209.98,365.41,0.0,10.0,424667404.17993337,108536.96,105780.81,2756.15,283407.32,283407.32,0.0,311241.66
1294957,NCR,EQ,1000,137611674331,helped,a,1012.657535,547564.1470405372,74473.09976881769,547564.1470405374,22302.6775,0.6450000000000004,245207,7112,252319.0,0.03427407945875603,2240.691790828506,0.6450000000000004,238240.84735949547,2240.691790828506,240481.53915032398,1,15573.959716184301,0,0.0027027911839380353,0.053540326713525016,-1,0.0,0.0,219258.86000000002,-1209.98,179.5,0.0,10.0,228091035.25876588,73516.15,71631.73,1884.42,214938.11,214938.11,0.0,240481.54
1295026,NCR,EQ,1000,137622521816,helped,a,762.9118639999999,1315831.2926869493,172154.35350996195,1315831.2926869495,22302.6775,0.7550000000000004,489049,14185,503234.0,0.03427407945875603,4469.096323523953,0.7550000000000004,529847.877275327,4469.096323523953,534316.9735988509,1,15573.959716184301,0,0.0017435318707860635,0.04711377039677237,-1,0.0,0.0,429034.72000000003,-1209.98,2267.75,0.0,10.0,336416899.00924814,144829.72,141071.21,3758.51,468750.93,468750.93,0.0,534316.98
1295027,NCR,EQ,1000,137622529240,helped,a,762.9118639999999,532117.1212696176,0.0,532117.1212696177,22302.6775,0.8450000000000005,192231,5575,197806.0,0.03427407945875603,1756.4477972256639,0.8450000000000005,222999.0903378452,1756.4477972256639,224755.53813507088,1,15573.959716184301,0,0.0027417407012495197,0.049422987205702776,-1,0.0,0.0,166029.59,-1209.98,448.51,0.0,10.0,130242913.13461515,53786.1,52308.93,1477.17,194081.1,194081.1,0.0,224755.55
1295107,NCR,EQ,1000,137641095227,helped,a,640.2964089999999,575741.8629364866,5447.922170839475,575741.8629364867,22302.6775,0.6450000000000004,303134,8792,311926.0,0.03427407945875603,2769.9890642525625,0.6450000000000004,291233.06293179945,2769.9890642525625,294003.05199605203,1,15573.959716184301,0,0.002635822077587901,0.06804055987802114,-1,0.0,0.0,271055.94999999995,-1209.98,456.35,0.0,10.0,178290548.71700287,87914.6,85585.04,2329.56,262745.69,262745.69,0.0,294003.05
1295146,NCR,EQ,1000,137647328005,helped,a,6557.612024999999,797405.6035474418,0.0,797405.6035474417,22302.6775,0.6750000000000004,393911,11425,405336.0,0.03427407945875603,3599.536517184432,0.6750000000000004,389994.6977807999,3599.536517184432,393594.23429798434,1,15573.959716184301,0,0.0022397025994577435,0.06409794473519267,-1,0.0,0.0,350399.15,-1209.98,1154.22,0.0,10.0,2360789996.8481045,113423.23,110396.02,3027.21,349942.66,349942.66,0.0,393594.24
1295165,NCR,EQ,1000,137654901058,helped,a,494.4307585,783985.4799419807,125325.10091825124,783985.4799419806,22302.6775,0.7150000000000004,311852,9045,320897.0,0.03427407945875603,2849.698713167019,0.7150000000000004,325984.5236968646,2849.698713167019,328834.22241003165,1,15573.959716184301,0,0.002258790674306179,0.04960864995213262,-1,0.0,0.0,275486.9399999999,-1209.98,758.33,0.0,10.0,139970274.4822775,93486.34,91089.74,2396.6,290459.5,290459.5,0.0,328834.22
1295167,NCR,EQ,1000,137654901481,helped,a,494.4307585,1421538.4276706562,358150.78961435606,1421538.4276706565,22302.6775,0.6150000000000003,590722,17134,607856.0,0.03427407945875603,5398.202073123682,0.6150000000000003,563005.5436119052,5398.202073123682,568403.7456850288,1,15573.959716184301,0,0.0016774542857831234,0.046750007762546744,-1,0.0,0.0,530966.0700000001,-1209.98,1867.95,0.0,10.0,269650551.9764718,184100.23,179560.34,4539.89,510644.36,510644.36,0.0,568403.74
1295282,NCR,EQ,1000,1339124009331,helped,a,913.3351299999999,783937.4634053647,0.0,783937.4634053649,22302.6775,0.7550000000000004,335253,9724,344977.0,0.03427407945875603,3063.6230278425746,0.7550000000000004,358740.12143287825,3063.6230278425746,361803.7444607208,1,15573.959716184301,0,0.0022588598492400466,0.05707211360166399,-1,0.0,0.0,294111.98999999993,-1209.98,1173.8,0.0,10.0,276091960.64875364,95238.82,92662.31,2576.51,317293.37,317293.37,0.0,361803.75
1295386,NCR,EQ,1000,1339617605253,helped,a,507.40836649999994,478654.46105922654,0.0,478654.4610592266,22302.6775,0.4750000000000002,353192,10244,363436.0,0.03427407945875603,3227.4531362833545,0.4750000000000002,279042.13011618424,3227.4531362833545,282269.5832524676,1,15573.959716184301,0,0.0028908059518938877,0.08996944319430777,-1,0.0,0.0,325265.54000000004,-1209.98,75.56,0.0,10.0,169413882.49820352,105191.77,102477.48,2714.29,259692.9,259692.9,0.0,282269.58
1295391,NCR,EQ,1000,1339620217249,helped,a,916.573851,505616.74958909716,25615.585054622617,505616.7495890973,22302.6775,0.4750000000000002,350892,10177,361069.0,0.03427407945875603,3206.3442569265617,0.4750000000000002,278197.6847082947,3206.3442569265617,281404.02896522125,1,15573.959716184301,0,0.002812673163381533,0.08074629053331256,-1,0.0,0.0,323147.3900000001,-1209.98,82.94,0.0,10.0,304033271.45867795,105384.63,102688.09,2696.54,258879.64,258879.64,0.0,281404.02
1295569,NCR,EQ,1000,1374383108008,helped,a,1887.0935849999998,507987.153614903,18159.740895945026,507987.1536149031,22302.6775,0.9050000000000006,171833,4984,176817.0,0.03427407945875603,1570.248577824701,0.9050000000000006,210335.78000957525,1570.248577824701,211906.02858739995,1,15573.959716184301,0,0.0028061031471480562,0.048225680761816284,-1,0.0,0.0,146875.71,-1209.98,322.56,0.0,10.0,285078045.16584045,48217.34,46896.76,1320.58,181139.86,181139.86,0.0,211906.04
1295610,NCR,EQ,1000,1374412013143,helped,a,1237.69249,469551.0021467813,0.0,469551.0021467813,22302.6775,0.8450000000000005,168617,4890,173507.0,0.03427407945875603,1540.6331351450217,0.8450000000000005,195605.48306722875,1540.6331351450217,197146.11620237379,1,15573.959716184301,0,0.0029186942986875164,0.048989747941123866,-1,0.0,0.0,145634.21000000002,-1209.98,254.66,0.0,10.0,185340365.50249723,47178.88,45883.21,1295.67,170239.79,170239.79,0.0,197146.12
1295611,NCR,EQ,1000,1374412069397,helped,a,1708.85962,389347.7544233388,0.0,389347.7544233388,22302.6775,0.9050000000000006,134242,3893,138135.0,0.03427407945875603,1226.5204079999119,0.9050000000000006,163783.01272559067,1226.5204079999119,165009.5331335906,1,15573.959716184301,0,0.0032052444624477232,0.0493549477332812,-1,0.0,0.0,114744.48,-1209.98,10.87,0.0,10.0,201677036.56258947,37182.66,36151.16,1031.5,141026.41,141026.41,0.0,165009.53
1295633,NCR,EQ,1000,1374413428194,helped,a,2136.153185,534613.917983976,49031.304480160674,534613.9179839761,22302.6775,0.9650000000000006,151702,4400,156102.0,0.03427407945875603,1386.2547637296718,0.9650000000000006,196049.18480829633,1386.2547637296718,197435.439572026,1,15573.959716184301,0,0.002735330860106291,0.04032919726341086,-1,0.0,0.0,128326.39,-1209.98,330.62,0.0,10.0,282029447.2032029,43276.59,42110.75,1165.84,167111.56,167111.56,0.0,197435.43
1295649,NCR,EQ,1000,1374414019153,helped,a,1012.657535,494834.79531834024,19612.520787691567,494834.7953183402,22302.6775,0.5650000000000003,298110,8646,306756.0,0.03427407945875603,2723.990610728805,0.5650000000000003,263098.79723711754,2723.990610728805,265822.78784784634,1,15573.959716184301,0,0.002843150703937299,0.07493820863891779,-1,0.0,0.0,270287.36,-1209.98,126.48,0.0,10.0,281071853.5677609,88119.25,85828.37,2290.88,240831.61,240831.61,0.0,265822.79
1295826,NCR,EQ,1000,1374477248003,helped,a,1010.4983749999999,464596.6817277901,0.0,464596.68172779016,22302.6775,0.4350000000000002,372917,10816,383733.0,0.03427407945875603,3407.6662555682115,0.4350000000000002,279709.34221040417,3407.6662555682115,283117.0084659724,1,15573.959716184301,0,0.0029342150738420557,0.0964922355665023,-1,0.0,0.0,345821.37000000005,-1209.98,3.35,0.0,10.0,358643683.4473801,111819.6,108953.75,2865.85,262251.9,262251.9,0.0,283117.02
1295838,NCR,EQ,1000,1374481214338,helped,a,1265.36523,562113.3534135697,113098.86679769127,562113.3534135699,22302.6775,0.5850000000000003,260617,7559,268176.0,0.03427407945875603,2381.5226725074067,0.5850000000000003,238865.03649061028,2381.5226725074067,241246.5591631177,1,15573.959716184301,0,0.002667583635029616,0.05204798262542981,-1,0.0,0.0,235475.47999999998,-1209.98,76.87,0.0,10.0,306006561.4810903,80067.63,78064.77,2002.86,217820.79,217820.79,0.0,241246.56
1295839,NCR,EQ,1000,1374481278003,helped,a,1265.36523,616167.0936101021,0.0,616167.0936101022,22302.6775,0.9050000000000006,218151,6327,224478.0,0.03427407945875603,1993.3713386630986,0.9050000000000006,266156.85112781636,1993.3713386630986,268150.22246647946,1,15573.959716184301,0,0.002547890415515459,0.051334651026511066,-1,0.0,0.0,186466.38999999996,-1209.98,715.56,0.0,10.0,242681103.06812075,60424.14,58747.71,1676.43,229176.22,229176.22,0.0,268150.23
1295995,NCR,EQ,1000,1375117821485,helped,a,631.5614345,555476.7149378465,59144.825757751365,555476.7149378468,22302.6775,0.4950000000000002,353340,10248,363588.0,0.03427407945875603,3228.713367886745,0.4950000000000002,288471.7354905622,3228.713367886745,291700.44885844894,1,15573.959716184301,0,0.0026834719896859874,0.07266969294334513,-1,0.0,0.0,324275.23,-1209.98,137.79,0.0,10.0,210242884.07726485,106907.96,104192.61,2715.35,267424.2,267424.2,0.0,291700.45
1296290,NCR,EQ,1000,1376113218001,helped,a,2283.3377299999997,733809.8554388257,142554.2574035826,733809.8554388257,22302.6775,0.6750000000000004,290553,8427,298980.0,0.03427407945875603,2654.9929304431694,0.6750000000000004,293077.4345848311,2654.9929304431694,295732.42751527426,1,15573.959716184301,0,0.0023347383958166766,0.046992015363008025,-1,0.0,0.0,258458.18999999992,-1209.98,544.75,0.0,10.0,606329594.1070154,88548.06,86315.21,2232.85,263007.34,263007.34,0.0,295732.43
1296365,NCR,EQ,1000,1376219718001,helped,a,511.72674349999994,500521.331450413,0.0,500521.3314504132,22302.6775,0.4750000000000002,375729,10898,386627.0,0.03427407945875603,3433.501003437719,0.4750000000000002,296847.6650275878,3433.501003437719,300281.1660310255,1,15573.959716184301,0,0.002826953728822249,0.09302196224317505,-1,0.0,0.0,346020.56,-1209.98,126.96,0.0,10.0,181758061.0621496,111904.08,109016.51,2887.57,276263.85,276263.85,0.0,300281.17
1296367,NCR,EQ,1000,1376220218001,helped,a,4054.9483649999993,1036599.5963137377,98958.23927499012,1036599.5963137378,22302.6775,0.4750000000000002,679981,19723,699704.0,0.03427407945875603,6213.886978418254,0.4750000000000002,540982.0530648443,6213.886978418254,547195.9400432626,1,15573.959716184301,0,0.001964375360109377,0.07350999131656623,-1,0.0,0.0,626215.7300000001,-1209.98,1321.88,0.0,10.0,2606532046.9217515,205911.8,200685.92,5225.88,503364.27,503364.27,0.0,547195.95
1296383,NCR,EQ,1000,1376225211130,helped,a,3814.5594149999997,570660.9413901044,28809.921383941528,570660.9413901045,22302.6775,0.6150000000000003,297252,8622,305874.0,0.03427407945875603,2716.4292211084617,0.6150000000000003,277555.55583817506,2716.4292211084617,280271.9850592835,1,15573.959716184301,0,0.0026475301919215858,0.06402973288509556,-1,0.0,0.0,267182.74,-1209.98,362.68,0.0,10.0,1046844193.1341581,87449.99,85165.47,2284.52,251767.38,251767.38,0.0,280271.99
1296385,NCR,EQ,1000,1376225216192,helped,a,762.9118639999999,806196.6583181198,0.0,806196.6583181199,22302.6775,0.8450000000000005,286759,8317,295076.0,0.03427407945875603,2620.3365613499273,0.8450000000000005,332657.0435891722,2620.3365613499273,335277.3801505221,1,15573.959716184301,0,0.0022274578713352322,0.0483094595281722,-1,0.0,0.0,247673.25999999995,-1209.98,1307.89,0.0,10.0,194289128.97127292,80235.12,78031.42,2203.7,289519.02,289519.02,0.0,335277.39
1296454,NCR,EQ,1000,1376410938002,helped,a,2561.1856549999998,458509.6567174171,2552.6239142103504,458509.65671741724,22302.6775,0.6450000000000004,235457,6829,242286.0,0.03427407945875603,2151.5304048886205,0.6450000000000004,226149.2826675393,2151.5304048886205,228300.8130724279,1,15573.959716184301,0,0.002953627699628092,0.06525069504442552,-1,0.0,0.0,210540.61999999997,-1209.98,130.17,0.0,10.0,553942987.6041483,68229.41,66419.97,1809.44,204028.11,204028.11,0.0,228300.82
1296457,NCR,EQ,1000,1376410978005,helped,a,1280.59278,622172.3428918739,133979.66433870106,622172.3428918739,22302.6775,0.5650000000000003,298735,8665,307400.0,0.03427407945875603,2729.9767108449105,0.5650000000000003,267991.6396076081,2729.9767108449105,270721.616318453,1,15573.959716184301,0,0.0025355643957122804,0.05325282044688687,-1,0.0,0.0,270854.0300000001,-1209.98,171.55,0.0,10.0,356185733.29887533,92222.64,89926.73,2295.91,245255.17,245255.17,0.0,270721.62
